epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1762.93,1.00467,9.92734,0.73184,0.86572,1.3907,0.1697,0.41358,0.10184,0.02527,0,0,0,0,3.26019,10.58,0.63485,28.8855,6.42491,0.0006,0.0006,0.0006
2,1874.09,0.87862,8.06493,0.61277,0.77161,1.2055,0.00543,0.46708,0.00413,0.00089,0,0,0,0,4.17977,11.9642,0.90355,inf,92.8145,0.00120792,0.00120792,0.00120792
3,1940.85,0.99019,7.30343,0.54116,0.79377,1.32112,0.00543,0.46708,0.00413,0.00089,0,0,0,0,nan,nan,nan,nan,nan,0.00180357,0.00180357,0.00180357
4,2032.52,1.03796,7.10882,0.53405,0.83324,1.36748,0.00745,0.45679,0.00533,0.00163,0,0,0,0,4.07642,11.9626,1.65753,inf,138.659,0.0019406,0.0019406,0.0019406
5,2152.49,0.95304,6.66293,0.53155,0.71693,1.29028,0.00372,0.41152,0.00252,0.00052,0,0,0,0,4.28969,11.9985,4.53517,inf,289.459,0.0019208,0.0019208,0.0019208
6,2776.82,0.85993,5.89038,0.49905,0.63135,1.21879,0.86262,0.81393,0.88924,0.64157,0.07591,0.107,0.01387,0.00156,0.80296,6.27857,0.32856,2.40577,1.21444,0.001901,0.001901,0.001901
7,2823.11,0.79818,5.44984,0.47891,0.59711,1.1899,0.90546,0.96564,0.97735,0.80948,0.28661,0.26132,0.09963,0.01531,0.65691,5.75276,0.30082,1.52726,1.03477,0.0018812,0.0018812,0.0018812
8,2892.34,0.7553,5.21195,0.47894,0.57679,1.15663,0.94869,0.94033,0.98401,0.86328,0.3422,0.35802,0.15109,0.02121,0.53736,5.14154,0.2955,0.99507,1.03435,0.0018614,0.0018614,0.0018614
9,2956.55,0.68128,4.90979,0.44687,0.55167,1.0924,0.95839,0.99513,0.99085,0.85587,0.47888,0.50823,0.27538,0.05011,0.59233,4.99141,0.29793,0.82924,0.99911,0.0018416,0.0018416,0.0018416
10,3070.76,0.6765,4.47836,0.42102,0.523,1.10418,0.94879,0.99383,0.97959,0.84947,0.71472,0.74897,0.61766,0.11735,0.5056,4.30094,0.25489,0.86719,0.95486,0.0018218,0.0018218,0.0018218
11,3170.09,0.66333,4.32584,0.41024,0.52602,1.09053,0.99164,1,0.99488,0.9032,0.88266,0.88272,0.82869,0.17532,0.47974,3.84602,0.23919,0.42846,0.96424,0.001802,0.001802,0.001802
12,3236.56,0.69514,4.10566,0.40688,0.52142,1.11624,0.99492,1,0.995,0.87418,0.71186,0.72222,0.63077,0.11685,0.58058,4.10332,0.25644,0.61039,0.98126,0.0017822,0.0017822,0.0017822
13,3293.06,0.64788,3.97004,0.3923,0.48621,1.07341,0.99276,1,0.9948,0.90644,0.78635,0.79218,0.69331,0.13734,0.48674,3.76442,0.26069,0.6248,0.94543,0.0017624,0.0017624,0.0017624
14,3359.97,0.63995,3.6805,0.39066,0.47349,1.05965,0.99979,1,0.995,0.9046,0.97922,0.97942,0.96704,0.29381,0.46409,3.01622,0.25401,0.42972,0.93619,0.0017426,0.0017426,0.0017426
15,3414.91,0.63118,3.6004,0.37067,0.46989,1.06593,0.99982,1,0.995,0.89984,0.86404,0.8642,0.77295,0.20954,0.46351,3.04968,0.24182,0.38741,0.91814,0.0017228,0.0017228,0.0017228
16,3467.6,0.61031,3.50873,0.36376,0.46067,1.04441,0.99968,1,0.995,0.91179,0.98322,0.98354,0.97611,0.39367,0.44232,2.49909,0.25603,0.3783,0.90607,0.001703,0.001703,0.001703
17,3521.32,0.58515,3.31188,0.35861,0.44356,1.04921,0.98777,1,0.99477,0.90735,0.88688,0.89712,0.86506,0.28553,0.41999,3.21201,0.24234,0.38693,0.90608,0.0016832,0.0016832,0.0016832
18,3604.45,0.60767,3.24056,0.35354,0.44752,1.04857,0.99974,1,0.995,0.93386,0.99563,0.99588,0.99471,0.40698,0.39539,2.42,0.25206,0.35565,0.88544,0.0016634,0.0016634,0.0016634
19,3694.13,0.57852,3.0606,0.33796,0.44492,1.03016,0.99935,1,0.995,0.90603,0.98702,0.98765,0.97598,0.38751,0.47664,2.3857,0.23727,0.42938,0.92222,0.0016436,0.0016436,0.0016436
20,3775.09,0.58519,3.09081,0.33136,0.45002,1.04797,0.99965,1,0.995,0.92296,0.97085,0.97119,0.96193,0.34643,0.39394,2.57536,0.23223,0.3978,0.89469,0.0016238,0.0016238,0.0016238
21,3842.13,0.57013,3.08474,0.33253,0.43889,1.0321,0.99986,1,0.995,0.92665,0.97312,0.97325,0.96148,0.47604,0.38654,2.17034,0.23494,0.32188,0.86659,0.001604,0.001604,0.001604
22,3897.65,0.56026,2.81489,0.33631,0.42365,1.02503,0.99971,1,0.995,0.93131,0.98943,0.98971,0.97897,0.4976,0.43694,2.20583,0.22927,0.39029,0.88729,0.0015842,0.0015842,0.0015842
23,3978.03,0.57024,2.78964,0.33084,0.44459,1.03613,0.99958,1,0.995,0.91826,0.9749,0.97531,0.96335,0.46805,0.41034,1.88373,0.22007,0.33445,0.89699,0.0015644,0.0015644,0.0015644
24,4049.32,0.5657,2.6116,0.31817,0.4197,1.03929,0.99975,1,0.995,0.93814,0.97918,0.97942,0.95663,0.53736,0.36637,1.72287,0.23642,0.39339,0.85925,0.0015446,0.0015446,0.0015446
25,4148.65,0.55546,2.63337,0.33077,0.41582,1.02549,0.99982,1,0.995,0.94548,0.9957,0.99588,0.9934,0.56028,0.34477,1.74961,0.23305,0.31177,0.85494,0.0015248,0.0015248,0.0015248
26,4215.99,0.53993,2.54578,0.32114,0.41332,1.01196,0.99984,1,0.995,0.94795,0.99984,1,0.995,0.57496,0.3628,1.53515,0.22056,0.29918,0.86547,0.001505,0.001505,0.001505
27,4272.33,0.54692,2.38493,0.31828,0.41868,1.02215,0.99976,1,0.995,0.92678,0.99976,1,0.995,0.58366,0.41125,1.52202,0.22689,0.33596,0.88656,0.0014852,0.0014852,0.0014852
28,4342.72,0.54157,2.4239,0.30657,0.42036,1.01373,0.99986,1,0.995,0.94305,0.99986,1,0.995,0.61545,0.3675,1.56496,0.23088,0.29923,0.85642,0.0014654,0.0014654,0.0014654
29,4399.25,0.56732,2.30628,0.31511,0.43285,1.0393,0.99986,1,0.995,0.93325,0.99986,1,0.995,0.59275,0.36648,1.4911,0.24198,0.30176,0.86806,0.0014456,0.0014456,0.0014456
30,4480.27,0.5108,2.31587,0.30114,0.39825,0.99814,0.99563,1,0.995,0.9291,0.9649,0.96914,0.94567,0.60477,0.38939,1.50918,0.21545,0.32695,0.89611,0.0014258,0.0014258,0.0014258
31,4580.14,0.49258,2.2208,0.31263,0.38456,0.99448,0.99936,1,0.995,0.94852,0.99936,1,0.995,0.59616,0.32746,1.70572,0.2053,0.30821,0.86213,0.001406,0.001406,0.001406
32,4654.95,0.52527,2.07855,0.29091,0.38728,1.00239,0.99984,1,0.995,0.94684,0.99778,0.99794,0.99325,0.67259,0.34879,1.39661,0.22278,0.28834,0.8448,0.0013862,0.0013862,0.0013862
33,4718.28,0.53279,2.07957,0.31398,0.3979,0.99923,0.99977,1,0.995,0.94009,0.99977,1,0.995,0.6934,0.35063,1.19743,0.2103,0.30379,0.8541,0.0013664,0.0013664,0.0013664
34,4835.18,0.53805,2.2403,0.29466,0.40307,1.00562,0.99879,1,0.995,0.94371,0.98231,0.98354,0.97161,0.61237,0.35535,1.51992,0.2167,0.30714,0.86757,0.0013466,0.0013466,0.0013466
35,4904.12,0.52172,2.22036,0.29201,0.39957,1.00439,0.99974,1,0.995,0.94844,0.98946,0.98971,0.98071,0.6802,0.33386,1.29133,0.20992,0.28979,0.85115,0.0013268,0.0013268,0.0013268
36,4986.27,0.5093,1.97328,0.29674,0.38501,0.99542,0.99983,1,0.995,0.93706,0.99983,1,0.995,0.6928,0.35662,1.15136,0.22567,0.3363,0.86025,0.001307,0.001307,0.001307
37,5046.25,0.53114,1.99511,0.29065,0.3978,1.01696,0.99967,1,0.995,0.93132,0.94619,0.9465,0.91078,0.62312,0.39278,1.47666,0.20907,0.32292,0.901,0.0012872,0.0012872,0.0012872
38,5102.2,0.49103,1.84189,0.29178,0.38072,0.99174,0.99988,1,0.995,0.95985,0.99988,1,0.995,0.75688,0.30435,0.97874,0.20762,0.2632,0.83756,0.0012674,0.0012674,0.0012674
