epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.627,3.93106,10.8056,0.69758,4.35812,2.86552,0.00411,0.55446,0.0084,0.00294,0,0,0,0,3.2614,11.9315,0.68606,4.12216,2.48502,8.574e-05,8.574e-05,8.574e-05
2,26.9116,2.5595,10.3126,0.6929,2.9424,1.88685,0.56297,0.78218,0.72205,0.26716,0,0,0,0,1.78801,11.8728,0.68228,3.03748,1.42947,0.000183931,0.000183931,0.000183931
3,39.3885,1.92382,10.4217,0.66357,1.59104,1.45633,0.88324,0.97369,0.97503,0.42498,0,0,0,0,1.76164,11.7014,0.6735,1.69821,1.59231,0.000280141,0.000280141,0.000280141
4,54.8371,1.54736,10.4821,0.65058,1.34453,1.24087,0.98897,1,0.99343,0.5824,0,0,0,0,1.45398,11.6268,0.6653,1.66506,1.33257,0.000374371,0.000374371,0.000374371
5,68.1126,1.50207,9.66654,0.65408,1.21412,1.25184,0.98955,1,0.99255,0.56099,0,0,0,0,1.36405,11.5584,0.64522,1.08181,1.25724,0.00046662,0.00046662,0.00046662
6,80.4207,1.44115,9.3742,0.64094,1.20741,1.26257,0.98881,1,0.99363,0.63183,0,0,0,0,1.23418,11.2527,0.62396,0.87679,1.19743,0.000556888,0.000556888,0.000556888
7,99.3337,1.41126,9.35297,0.61954,1.07896,1.2048,0.98893,1,0.9948,0.57298,0,0,0,0,1.49077,10.7315,0.59965,0.97813,1.40768,0.000645176,0.000645176,0.000645176
8,118.816,1.3787,8.9763,0.6164,1.01182,1.22118,0.99152,1,0.995,0.69708,0,0,0,0,1.22322,10.3674,0.57576,0.97417,1.23412,0.000731484,0.000731484,0.000731484
9,132.575,1.34254,8.76975,0.58858,0.95012,1.18972,0.9805,0.99594,0.98837,0.62744,0,0,0,0,1.31262,10.4181,0.53477,1.05554,1.28915,0.00081581,0.00081581,0.00081581
10,147.218,1.25158,8.26572,0.61441,0.88271,1.12322,0.93367,0.9901,0.97298,0.66532,0,0,0,0,1.24291,9.82318,0.4898,1.16676,1.26284,0.000898157,0.000898157,0.000898157
11,159.721,1.22533,7.91377,0.60487,0.91577,1.16711,0.9884,1,0.98578,0.58155,0,0,0,0,1.50757,8.76273,0.44674,1.01237,1.40699,0.000978522,0.000978522,0.000978522
12,174.137,1.35273,8.32187,0.5492,0.91965,1.15907,0.98923,1,0.98549,0.63136,0,0,0,0,1.34192,8.25176,0.38892,0.76933,1.34685,0.00105691,0.00105691,0.00105691
13,186.179,1.17691,8.17268,0.52758,0.79691,1.08664,0.98952,1,0.98529,0.67021,0,0,0,0,1.17234,8.10732,0.36627,0.75297,1.22136,0.00113331,0.00113331,0.00113331
14,198.132,1.21404,7.78411,0.57518,0.83924,1.09616,0.9891,1,0.99422,0.71743,0,0,0,0,1.04309,8.74593,0.3121,0.77215,1.10333,0.00120774,0.00120774,0.00120774
15,210.276,1.20281,7.3541,0.51979,0.88801,1.10586,0.98586,1,0.98618,0.64864,0,0,0,0,1.30299,8.59941,0.28038,1.0386,1.33224,0.00123094,0.00123094,0.00123094
16,222.799,1.1369,7.28934,0.51559,0.85233,1.10403,0.98643,1,0.99118,0.65981,0,0,0,0,0.94843,8.30941,0.26372,0.75342,1.03341,0.00121679,0.00121679,0.00121679
17,235.237,1.15851,7.32108,0.5229,0.80205,1.10377,0.98937,1,0.99029,0.73096,0,0,0,0,0.98526,8.05878,0.262,0.68489,1.03255,0.00120265,0.00120265,0.00120265
18,247.901,1.14021,7.28824,0.52111,0.77601,1.1225,0.98945,1,0.98657,0.69754,0,0,0,0,1.01809,7.88828,0.24782,0.73702,1.05669,0.0011885,0.0011885,0.0011885
19,260.547,1.06124,7.56295,0.46762,0.73979,1.05379,0.98939,1,0.98598,0.78288,0,0,0,0,0.92144,7.91975,0.24125,0.68756,1.02221,0.00117435,0.00117435,0.00117435
20,273.376,1.11144,6.99003,0.52044,0.7935,1.10928,0.98946,1,0.98578,0.69205,0,0,0,0,1.15243,7.85649,0.22397,0.77314,1.10634,0.00116021,0.00116021,0.00116021
21,286.083,1.12429,6.26837,0.53233,0.79002,1.10457,0.98926,1,0.98618,0.81341,0,0,0,0,0.79667,8.12972,0.21229,0.64505,0.96737,0.00114606,0.00114606,0.00114606
22,299.097,1.07677,6.91375,0.46819,0.74551,1.05,0.98927,1,0.98755,0.74891,0,0,0,0,0.87392,7.37528,0.21353,0.72807,1.00381,0.00113191,0.00113191,0.00113191
23,311.144,1.10147,6.735,0.50058,0.76031,1.06644,0.98935,1,0.98784,0.71467,0,0,0,0,1.17295,8.22325,0.1839,0.89623,1.15528,0.00111776,0.00111776,0.00111776
24,323.246,1.10251,6.88137,0.50984,0.77653,1.05752,0.98902,1,0.98882,0.77678,0,0,0,0,0.83707,7.37929,0.19982,0.7213,0.99514,0.00110362,0.00110362,0.00110362
25,335.106,1.02603,6.59926,0.50505,0.74071,1.06884,0.98948,1,0.98902,0.72689,0,0,0,0,1.0183,7.39185,0.20002,0.73209,1.05002,0.00108947,0.00108947,0.00108947
26,346.989,1.0836,6.59115,0.51842,0.71169,1.02844,0.989,1,0.99049,0.79895,0,0,0,0,0.81163,7.14947,0.22001,0.64629,0.9798,0.00107532,0.00107532,0.00107532
27,360.049,1.02418,7.10657,0.47106,0.76236,1.03055,0.98925,1,0.98873,0.80371,0,0,0,0,0.79006,6.98694,0.23178,0.61135,0.96844,0.00106118,0.00106118,0.00106118
28,372.565,1.11101,6.59235,0.54531,0.75714,1.07881,0.98951,1,0.98824,0.70851,0,0,0,0,1.20843,7.06319,0.1995,0.66993,1.14249,0.00104703,0.00104703,0.00104703
29,385.249,1.05264,6.25409,0.51658,0.71073,1.05721,0.98953,1,0.98873,0.76058,0,0,0,0,1.00992,7.08883,0.19812,0.64556,1.05842,0.00103288,0.00103288,0.00103288
30,396.985,0.94533,5.92329,0.49424,0.66701,1.01278,0.98948,1,0.9902,0.84548,0.02691,0.0099,0.001,0.0001,0.6424,6.83909,0.20977,0.57133,0.89538,0.00101873,0.00101873,0.00101873
31,409.392,0.94145,6.43408,0.47506,0.67453,0.98706,0.98947,1,0.99108,0.85281,0.03036,0.0198,0.00208,0.00021,0.66142,6.78285,0.20461,0.5569,0.90056,0.00100459,0.00100459,0.00100459
32,422.062,0.87279,6.39418,0.48321,0.6294,0.98922,0.98952,1,0.98912,0.80003,0.03086,0.0198,0.0022,0.00022,0.74663,6.6959,0.20595,0.53012,0.91976,0.00099044,0.00099044,0.00099044
33,433.742,0.88814,6.14069,0.47623,0.63118,1.00585,0.98949,1,0.98824,0.82973,0.04975,0.0297,0.0038,0.00038,0.63269,6.66191,0.20086,0.54284,0.8899,0.000976293,0.000976293,0.000976293
34,445.316,0.9032,6.1514,0.47818,0.65702,1.02388,0.98947,1,0.98725,0.79585,0.01536,0.0099,0.00057,6e-05,0.83917,6.67426,0.1869,0.58813,0.97969,0.000962146,0.000962146,0.000962146
35,456.979,0.88503,6.55292,0.4392,0.60714,0.99286,0.98933,1,0.98794,0.82443,0.0525,0.0396,0.00544,0.00054,0.84356,6.52541,0.19452,0.59745,0.99194,0.000947999,0.000947999,0.000947999
36,468.729,0.90993,6.14097,0.46897,0.6389,1.00193,0.98948,1,0.98637,0.83741,0.04931,0.0297,0.0048,0.00048,0.67401,6.42728,0.18753,0.52496,0.91083,0.000933851,0.000933851,0.000933851
37,481.406,0.87241,6.28342,0.43292,0.62678,0.98675,0.9895,1,0.98608,0.84604,0.03279,0.0198,0.00323,0.00032,0.72165,6.37902,0.18529,0.51176,0.9404,0.000919704,0.000919704,0.000919704
38,493.26,0.86591,5.84705,0.50212,0.61279,0.97664,0.98954,1,0.98657,0.85177,0.0634,0.0495,0.00812,0.00081,0.66021,6.32463,0.1708,0.53957,0.90093,0.000905557,0.000905557,0.000905557
39,506.178,0.90517,5.76655,0.4564,0.6649,0.9891,0.98956,1,0.98941,0.85328,0.0196,0.0198,0.00133,0.00013,0.67023,6.29216,0.17332,0.51414,0.89585,0.00089141,0.00089141,0.00089141
40,518.306,0.89217,6.00013,0.47856,0.5997,0.995,0.98959,1,0.99078,0.85087,0.08266,0.05941,0.02174,0.00217,0.61972,6.22117,0.16357,0.4567,0.89765,0.000877263,0.000877263,0.000877263
