epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4733,1.51309,10.1435,0.72345,1.25558,1.90389,0.02875,0.87654,0.03001,0.01734,0,0,0,0,1.27178,10.0483,0.53215,inf,2.32231,0.0006,0.0006,0.0006
2,31.584,1.26695,8.67696,0.59711,0.95112,1.61373,0.02875,0.87654,0.03001,0.01734,0,0,0,0,0,0,0,inf,0,0.00119584,0.00119584,0.00119584
3,47.8803,1.39887,8.261,0.54061,1.0077,1.70719,0.02875,0.87654,0.03001,0.01734,0,0,0,0,0,0,0,inf,0,0.00176714,0.00176714,0.00176714
4,64.3472,1.35391,7.87644,0.51794,0.97279,1.69683,0.01739,0.09053,0.00749,0.00176,0.00029,0.01029,5e-05,1e-05,3.20226,9.0741,0.22657,26.9691,3.89549,0.0018812,0.0018812,0.0018812
5,80.0764,1.09959,7.23648,0.51593,0.79137,1.48843,0.67165,0.47119,0.55213,0.34382,0.01908,0.03292,0.00168,0.00017,1.71531,6.88654,0.24214,8.07221,2.80626,0.0018416,0.0018416,0.0018416
6,96.523,1.0766,6.91049,0.49559,0.78893,1.46719,0.76004,0.6517,0.71323,0.41714,0.0216,0.01852,0.0009,0.00011,1.41259,7.23779,0.23197,4.37801,2.27189,0.001802,0.001802,0.001802
7,111.692,1.01817,6.56892,0.4791,0.72177,1.41155,0.98526,0.98971,0.99397,0.77047,0.27611,0.27778,0.08532,0.01201,0.89058,5.65106,0.22522,1.41773,1.54705,0.0017624,0.0017624,0.0017624
8,128.331,0.9562,6.21992,0.49471,0.66495,1.36547,0.98174,0.99567,0.99378,0.79075,0.39052,0.39684,0.17755,0.02774,0.78245,5.26061,0.23042,0.86297,1.40569,0.0017228,0.0017228,0.0017228
9,144.513,0.88538,5.84381,0.45512,0.59305,1.31258,0.89755,0.72108,0.78269,0.51624,0.46219,0.27778,0.16807,0.02369,1.53529,6.54317,0.26815,1.23734,2.12769,0.0016832,0.0016832,0.0016832
10,160.055,0.88727,5.75239,0.44175,0.58799,1.30607,0.99585,1,0.995,0.81544,0.59966,0.60288,0.4314,0.08632,0.76246,4.65664,0.19047,0.56368,1.42428,0.0016436,0.0016436,0.0016436
11,175.634,0.79868,5.48498,0.42203,0.56114,1.24792,1,0.99678,0.995,0.83972,0.61655,0.60905,0.45969,0.10379,0.62974,4.53048,0.17898,0.84581,1.29747,0.001604,0.001604,0.001604
12,190.897,0.83017,5.50234,0.42995,0.5759,1.28336,0.9938,1,0.995,0.8483,0.65204,0.65638,0.4705,0.09594,0.61149,4.48127,0.18154,0.49255,1.25168,0.0015644,0.0015644,0.0015644
13,206.202,0.79751,5.23258,0.40143,0.54515,1.23403,0.88781,0.92815,0.97214,0.7781,0.58175,0.55761,0.47933,0.11105,0.76468,4.52792,0.18169,0.71587,1.37926,0.0015248,0.0015248,0.0015248
14,221.328,0.79192,4.9275,0.38997,0.52476,1.23065,0.99723,1,0.99498,0.8582,0.75511,0.7572,0.61247,0.156,0.616,4.008,0.1657,0.41406,1.25489,0.0014852,0.0014852,0.0014852
15,236.584,0.76823,4.84268,0.3782,0.52079,1.21928,0.99969,1,0.995,0.86663,0.76864,0.74897,0.63894,0.18265,0.59864,3.87962,0.15325,0.48236,1.21748,0.0014456,0.0014456,0.0014456
16,252.826,0.75475,4.78449,0.38447,0.5185,1.21701,0.99983,1,0.995,0.87197,0.74062,0.74074,0.5753,0.16964,0.5834,3.81841,0.17858,0.37411,1.23976,0.001406,0.001406,0.001406
17,270.886,0.72594,4.70219,0.37711,0.50699,1.19399,0.99939,1,0.995,0.87798,0.80815,0.80864,0.70296,0.20328,0.55975,3.65044,0.16997,0.38623,1.19847,0.0013664,0.0013664,0.0013664
18,286.2,0.71633,4.53156,0.36781,0.47757,1.17188,0.9995,1,0.995,0.89431,0.88022,0.88066,0.81471,0.24121,0.52967,3.51209,0.1559,0.34967,1.18203,0.0013268,0.0013268,0.0013268
19,301.462,0.71074,4.36409,0.34774,0.475,1.19378,0.99978,1,0.995,0.86367,0.85989,0.86008,0.81711,0.30756,0.64778,3.36331,0.15402,0.40262,1.30312,0.0012872,0.0012872,0.0012872
20,316.802,0.70539,4.46081,0.34721,0.47193,1.17261,0.99984,1,0.995,0.88879,0.88463,0.88477,0.81861,0.29886,0.49844,3.3069,0.1392,0.36842,1.13802,0.0012476,0.0012476,0.0012476
21,332.137,0.66877,4.26375,0.34536,0.45033,1.15313,0.99962,1,0.995,0.885,0.87621,0.87654,0.85096,0.30766,0.52696,3.29743,0.15792,0.33499,1.16267,0.001208,0.001208,0.001208
22,347.381,0.68571,4.06552,0.35567,0.46043,1.16126,0.90425,0.97159,0.98573,0.80496,0.81941,0.63489,0.68186,0.27278,0.83019,3.71781,0.19563,0.53502,1.52677,0.0011684,0.0011684,0.0011684
23,362.505,0.66009,3.85836,0.33293,0.44582,1.15836,0.99985,1,0.995,0.90764,0.97722,0.97737,0.95467,0.40239,0.46051,2.628,0.14774,0.33321,1.11246,0.0011288,0.0011288,0.0011288
24,377.684,0.65593,3.73329,0.33582,0.44741,1.15662,0.99983,1,0.995,0.90625,0.99983,1,0.995,0.46505,0.4823,2.26324,0.15288,0.32373,1.13013,0.0010892,0.0010892,0.0010892
25,394.414,0.65424,3.61691,0.33947,0.43818,1.11163,0.99986,1,0.995,0.90428,0.99575,0.99588,0.99237,0.45756,0.4554,2.27263,0.1385,0.30776,1.09788,0.0010496,0.0010496,0.0010496
26,410.113,0.62851,3.44979,0.3308,0.42734,1.1084,0.99987,1,0.995,0.91722,0.98753,0.98765,0.98259,0.47725,0.43781,2.18323,0.14701,0.29872,1.0905,0.00101,0.00101,0.00101
27,426.376,0.62256,3.24747,0.3253,0.42532,1.13701,0.99987,1,0.995,0.94216,0.99987,1,0.995,0.55016,0.38699,1.81453,0.15722,0.28597,1.04986,0.0009704,0.0009704,0.0009704
28,442.714,0.59976,3.10891,0.3248,0.40711,1.10084,0.99987,1,0.995,0.92803,0.99987,1,0.995,0.5349,0.40588,1.7714,0.14569,0.29287,1.06173,0.0009308,0.0009308,0.0009308
29,457.638,0.61297,3.0349,0.33016,0.41893,1.12026,0.99986,1,0.995,0.9164,0.9978,0.99794,0.99461,0.53661,0.42954,1.73362,0.15782,0.29183,1.07812,0.0008912,0.0008912,0.0008912
